date,store,product,sales,price,category,region
2023-01-01,StoreA,Product1,45,29.99,Electronics,North
2023-01-01,StoreA,Product2,32,19.99,Clothing,North
2023-01-01,StoreA,Product3,28,15.99,Home,North
2023-01-01,StoreB,Product1,38,29.99,Electronics,South
2023-01-01,StoreB,Product2,41,19.99,Clothing,South
2023-01-01,StoreB,Product3,35,15.99,Home,South
2023-01-01,StoreC,Product1,52,29.99,Electronics,East
2023-01-01,StoreC,Product2,29,19.99,Clothing,East
2023-01-01,StoreC,Product3,31,15.99,Home,East
2023-01-01,StoreD,Product1,44,29.99,Electronics,West
2023-01-01,StoreD,Product2,36,19.99,Clothing,West
2023-01-01,StoreD,Product3,39,15.99,Home,West
2023-01-02,StoreA,Product1,48,29.99,Electronics,North
2023-01-02,StoreA,Product2,35,19.99,Clothing,North
2023-01-02,StoreA,Product3,30,15.99,Home,North
2023-01-02,StoreB,Product1,42,29.99,Electronics,South
2023-01-02,StoreB,Product2,38,19.99,Clothing,South
2023-01-02,StoreB,Product3,33,15.99,Home,South
2023-01-02,StoreC,Product1,55,29.99,Electronics,East
2023-01-02,StoreC,Product2,31,19.99,Clothing,East
2023-01-02,StoreC,Product3,34,15.99,Home,East
2023-01-02,StoreD,Product1,47,29.99,Electronics,West
2023-01-02,StoreD,Product2,37,19.99,Clothing,West
2023-01-02,StoreD,Product3,41,15.99,Home,West
2023-01-03,StoreA,Product1,51,29.99,Electronics,North
2023-01-03,StoreA,Product2,33,19.99,Clothing,North
2023-01-03,StoreA,Product3,29,15.99,Home,North
2023-01-03,StoreB,Product1,45,29.99,Electronics,South
2023-01-03,StoreB,Product2,40,19.99,Clothing,South
2023-01-03,StoreB,Product3,36,15.99,Home,South
2023-01-03,StoreC,Product1,58,29.99,Electronics,East
2023-01-03,StoreC,Product2,33,19.99,Clothing,East
2023-01-03,StoreC,Product3,37,15.99,Home,East
2023-01-03,StoreD,Product1,50,29.99,Electronics,West
2023-01-03,StoreD,Product2,39,19.99,Clothing,West
2023-01-03,StoreD,Product3,43,15.99,Home,West
2023-01-04,StoreA,Product1,120,29.99,Electronics,North
2023-01-04,StoreA,Product2,36,19.99,Clothing,North
2023-01-04,StoreA,Product3,32,15.99,Home,North
2023-01-04,StoreB,Product1,48,29.99,Electronics,South
2023-01-04,StoreB,Product2,42,19.99,Clothing,South
2023-01-04,StoreB,Product3,38,15.99,Home,South
2023-01-04,StoreC,Product1,61,29.99,Electronics,East
2023-01-04,StoreC,Product2,35,19.99,Clothing,East
2023-01-04,StoreC,Product3,40,15.99,Home,East
2023-01-04,StoreD,Product1,53,29.99,Electronics,West
2023-01-04,StoreD,Product2,41,19.99,Clothing,West
2023-01-04,StoreD,Product3,45,15.99,Home,West
2023-01-05,StoreA,Product1,57,29.99,Electronics,North
2023-01-05,StoreA,Product2,38,19.99,Clothing,North
2023-01-05,StoreA,Product3,35,15.99,Home,North
2023-01-05,StoreB,Product1,51,29.99,Electronics,South
2023-01-05,StoreB,Product2,44,19.99,Clothing,South
2023-01-05,StoreB,Product3,0,15.99,Home,South
2023-01-05,StoreC,Product1,64,29.99,Electronics,East
2023-01-05,StoreC,Product2,37,19.99,Clothing,East
2023-01-05,StoreC,Product3,43,15.99,Home,East
2023-01-05,StoreD,Product1,56,29.99,Electronics,West
2023-01-05,StoreD,Product2,43,19.99,Clothing,West
2023-01-05,StoreD,Product3,47,15.99,Home,West
2023-01-06,StoreA,Product1,60,29.99,Electronics,North
2023-01-06,StoreA,Product2,41,19.99,Clothing,North
2023-01-06,StoreA,Product3,38,15.99,Home,North
2023-01-06,StoreB,Product1,54,29.99,Electronics,South
2023-01-06,StoreB,Product2,46,19.99,Clothing,South
2023-01-06,StoreB,Product3,42,15.99,Home,South
2023-01-06,StoreC,Product1,67,29.99,Electronics,East
2023-01-06,StoreC,Product2,10,19.99,Clothing,East
2023-01-06,StoreC,Product3,46,15.99,Home,East
2023-01-06,StoreD,Product1,59,29.99,Electronics,West
2023-01-06,StoreD,Product2,45,19.99,Clothing,West
2023-01-06,StoreD,Product3,49,15.99,Home,West
2023-01-07,StoreA,Product1,63,29.99,Electronics,North
2023-01-07,StoreA,Product2,44,19.99,Clothing,North
2023-01-07,StoreA,Product3,41,15.99,Home,North
2023-01-07,StoreB,Product1,57,29.99,Electronics,South
2023-01-07,StoreB,Product2,48,19.99,Clothing,South
2023-01-07,StoreB,Product3,44,15.99,Home,South
2023-01-07,StoreC,Product1,70,29.99,Electronics,East
2023-01-07,StoreC,Product2,41,19.99,Clothing,East
2023-01-07,StoreC,Product3,49,15.99,Home,East
2023-01-07,StoreD,Product1,62,29.99,Electronics,West
2023-01-07,StoreD,Product2,47,19.99,Clothing,West
2023-01-07,StoreD,Product3,51,15.99,Home,West
